Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_EDGE3D,Base_HIP,block_256,2146689, PASSED     ,0.00641247,10.8305,4774.56,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256,4774.56,10.8305
Apps_EDGE3D,RAJA_HIP,block_256,2146689, PASSED     ,0.0063349,10.9631,4833.02,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4831.53,10.9631
Apps_EDGE3D,Base_HIP,block_256,17576, PASSED     ,8.26886e-05,9.31181,4017.16,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256,4017.16,9.31181
Apps_EDGE3D,RAJA_HIP,block_256,17576, PASSED     ,7.85926e-05,9.79711,4226.52,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4226.52,9.79711
Apps_EDGE3D,Base_HIP,block_256,343000, PASSED     ,0.00113664,10.4429,4581.85,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256,4581.85,10.4429
Apps_EDGE3D,RAJA_HIP,block_256,343000, PASSED     ,0.00112238,10.5755,4640.06,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4640.06,10.5755
Apps_EDGE3D,Base_HIP,block_256,35937, PASSED     ,0.000143761,10.136,4397.19,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256,4397.19,10.136
Apps_EDGE3D,RAJA_HIP,block_256,35937, PASSED     ,0.000138536,10.5183,4563.03,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4478.36,10.2356
Apps_EDGE3D,Base_HIP,block_256,3375, PASSED     ,2.65822e-05,7.15595,3030.82,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256,3523.99,8.23388
Apps_EDGE3D,RAJA_HIP,block_256,3375, PASSED     ,2.47092e-05,7.69838,3260.56,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3743.54,8.747745
Apps_EDGE3D,Base_HIP,block_256,704969, PASSED     ,0.00219701,10.7628,4732.67,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256,4732.67,10.7628
Apps_EDGE3D,RAJA_HIP,block_256,704969, PASSED     ,0.00217731,10.8602,4775.49,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4775.49,10.8602
Apps_EDGE3D,Base_HIP,block_256,79507, PASSED     ,0.000294326,10.227,4458.56,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256,4458.56,10.1944
