Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_EDGE3D,Base_CUDA,block_256,1442897, PASSED     ,0.0129098,3.65749,1611.09,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1024-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1611.09,3.65749
Apps_EDGE3D,RAJA_CUDA,block_256,1442897, PASSED     ,0.0129501,3.64609,1606.07,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1024-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1606.07,3.64609
Apps_EDGE3D,Base_Seq,default,166375, PASSED     ,0.280277,0.0213676,9.34894,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_128-kernel-run-data.csv,Seq,Base_Seq-default,9.35308,0.0213676
Apps_EDGE3D,Base_CUDA,block_256,166375, PASSED     ,0.00174224,3.43745,1503.98,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_128-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1503.98,3.43745
Apps_EDGE3D,RAJA_CUDA,block_256,166375, PASSED     ,0.00174605,3.42995,1500.7,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_128-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1500.7,3.42995
Apps_EDGE3D,Base_Seq,default,2146689, PASSED     ,3.26817,0.0212504,9.36815,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default,9.34943,0.02121195
Apps_EDGE3D,Base_CUDA,block_256,2146689, PASSED     ,0.0189157,3.67155,1618.58,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1500-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1614.835,3.66452
Apps_EDGE3D,RAJA_CUDA,block_256,2146689, PASSED     ,0.0189716,3.66075,1613.82,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1500-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1609.945,3.652475
Apps_EDGE3D,Base_Seq,default,17576, PASSED     ,0.0353438,0.0217854,9.39835,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_16-kernel-run-data.csv,Seq,Base_Seq-default,9.38302,0.0217854
Apps_EDGE3D,Base_CUDA,block_256,17576, PASSED     ,0.000291234,2.64385,1140.57,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_16-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1140.57,2.64385
