Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GB per sec.)
Apps_EDGE3D,RAJA_HIP,block_256,343000, PASSED     ,0.00114978,10.3235,3982.76,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3982.76,
Apps_EDGE3D,Base_HIP,block_256,35937, PASSED     ,0.000146084,9.97483,3804.95,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256,3804.95,
Apps_EDGE3D,RAJA_HIP,block_256,35937, PASSED     ,0.000144967,10.0517,3834.26,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3827.66,
Apps_EDGE3D,Base_HIP,block_256,3375, PASSED     ,2.69901e-05,7.0478,2624.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256,3059.7,
Apps_EDGE3D,RAJA_HIP,block_256,3375, PASSED     ,2.47552e-05,7.68407,2861.66,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3255.35,
Apps_EDGE3D,Base_HIP,block_256,704969, PASSED     ,0.00225227,10.4988,4059.31,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256,4059.31,
Apps_EDGE3D,RAJA_HIP,block_256,704969, PASSED     ,0.00222774,10.6143,4104.0,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4104.0,
Apps_EDGE3D,Base_HIP,block_256,79507, PASSED     ,0.000299208,10.0602,3856.42,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256,3835.77,
Apps_EDGE3D,RAJA_HIP,block_256,79507, PASSED     ,0.000301456,9.98516,3827.66,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3834.26,
Apps_ENERGY,Base_HIP,block_256,417, PASSED     ,1.4321e-05,5.85756,1.6015,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256,6.39119,
Apps_ENERGY,RAJA_HIP,block_256,417, PASSED     ,8.89027e-06,9.43572,2.57979,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256,10.4341,
Apps_ENERGY,Base_HIP,block_256,426667, PASSED     ,0.000145139,591.37,161.684,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256,157.635,
Apps_ENERGY,RAJA_HIP,block_256,426667, PASSED     ,0.000146537,585.726,160.141,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256,157.149,
Apps_ENERGY,Base_HIP,block_256,53334, PASSED     ,1.36478e-05,786.135,214.934,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256,153.536,
Apps_ENERGY,RAJA_HIP,block_256,53334, PASSED     ,1.28385e-05,835.686,228.482,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256,154.157,
Apps_ENERGY,Base_HIP,block_256,625000, PASSED     ,0.000213466,588.985,161.032,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256,161.032,
Apps_ENERGY,RAJA_HIP,block_256,625000, PASSED     ,0.00020976,599.393,163.878,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256,160.141,
Apps_ENERGY,Base_HIP,block_256,6667, PASSED     ,1.37583e-05,97.481,26.6519,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256,26.6519,
Apps_ENERGY,RAJA_HIP,block_256,6667, PASSED     ,9.04358e-06,148.301,40.5464,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256,40.5464,
