Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,1060900, PASSED     ,2.16106e-05,2197.41,2650.95,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1024-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,131044, PASSED     ,0.000658839,8.92438,10.7407,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_128-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,131044, PASSED     ,4.05538e-06,1449.86,1744.94,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_128-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,131044, PASSED     ,4.03137e-06,1458.49,1755.33,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_128-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,1555009, PASSED     ,0.00972127,7.15839,8.63781,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,1555009, PASSED     ,3.0096e-05,2312.22,2790.09,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1500-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,1555009, PASSED     ,3.0066e-05,2314.53,2792.87,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_1500-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,15876, PASSED     ,8.18091e-05,8.7674,10.4793,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_16-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,15876, PASSED     ,2.84052e-06,252.507,301.812,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_16-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,15876, PASSED     ,2.81695e-06,254.62,304.338,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_16-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,264196, PASSED     ,0.00140043,8.45538,10.1873,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_256-kernel-run-data.csv,Seq,Base_Seq-default
