Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_EDGE3D,RAJA_HIP,block_256,343000, PASSED     ,0.000201308,58.9635,25870.5,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,4410944, PASSED     ,0.00228531,61.3719,27088.5,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,4410944, PASSED     ,0.00221859,63.2177,27903.2,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,35937, PASSED     ,2.90329e-05,50.19,21773.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,35937, PASSED     ,2.7464e-05,53.0572,23017.2,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,6028568, PASSED     ,0.00307797,61.8842,27326.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,6028568, PASSED     ,0.00298157,63.885,28210.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,704969, PASSED     ,0.000407708,57.9974,25502.9,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,704969, PASSED     ,0.000396713,59.6049,26209.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,8869743, PASSED     ,0.00436561,63.747,28163.1,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,8869743, PASSED     ,0.00432174,64.3941,28449.0,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,79507, PASSED     ,5.6372e-05,53.3968,23278.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,79507, PASSED     ,5.43279e-05,55.4059,24154.6,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,8000, PASSED     ,2.5148e-05,15.4922,6632.22,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,8000, PASSED     ,2.4638e-05,15.8129,6769.51,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,12008989, PASSED     ,0.00589337,63.6221,28117.6,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_4000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,12008989, PASSED     ,0.00583421,64.2672,28402.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_4000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,1442897, PASSED     ,0.000783954,60.2298,26530.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,1442897, PASSED     ,0.000773551,61.0398,26887.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,166375, PASSED     ,0.000113597,52.7203,23066.6,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,166375, PASSED     ,0.000107784,55.5636,24310.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,834, PASSED     ,1.1517e-05,14.5674,3.98281,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,834, PASSED     ,1.24009e-05,13.529,3.69892,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,853334, PASSED     ,6.07926e-05,2823.72,772.024,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,853334, PASSED     ,6.12977e-05,2800.46,765.663,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,106667, PASSED     ,1.41007e-05,1521.75,416.057,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,106667, PASSED     ,1.40643e-05,1525.69,417.133,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,1250000, PASSED     ,8.37734e-05,3001.63,820.666,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,1250000, PASSED     ,8.5529e-05,2940.02,803.821,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,13334, PASSED     ,1.21478e-05,220.81,60.3708,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,13334, PASSED     ,1.22944e-05,218.175,59.6505,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,1706667, PASSED     ,0.000108982,3150.27,861.304,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,1706667, PASSED     ,0.000109982,3121.63,853.474,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,213334, PASSED     ,1.93227e-05,2220.98,607.231,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,213334, PASSED     ,1.92138e-05,2233.57,610.674,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,2500000, PASSED     ,0.000158316,3176.64,868.515,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,2500000, PASSED     ,0.000154298,3259.36,891.13,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,26667, PASSED     ,1.23004e-05,436.121,119.238,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,26667, PASSED     ,1.2468e-05,430.261,117.636,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,3334, PASSED     ,1.16869e-05,57.3879,15.6902,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,3334, PASSED     ,1.19325e-05,56.2066,15.3672,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,3333334, PASSED     ,0.000199789,3356.3,917.635,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_4000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,3333334, PASSED     ,0.00019862,3376.06,923.038,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_4000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,426667, PASSED     ,3.30412e-05,2597.69,710.225,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,426667, PASSED     ,3.24921e-05,2641.59,722.227,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,53334, PASSED     ,1.25506e-05,854.857,233.723,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,53334, PASSED     ,1.25491e-05,854.962,233.752,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/ENERGY_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_FEMSWEEP,Base_HIP,block_64,839808, PASSED     ,0.00069886,201.471,1046.27,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,839808, PASSED     ,0.00065407,215.267,1117.91,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,144000, PASSED     ,0.00021655,106.815,569.749,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,144000, PASSED     ,0.00020447,113.126,603.41,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64
