Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_DIFFUSION3DPA,Base_HIP,block_64,1578096, PASSED     ,8.76104e-05,2311.31,3468.44,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1578096, PASSED     ,8.38364e-05,2415.35,3624.57,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,197262, PASSED     ,1.37799e-05,1836.88,2756.48,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,197262, PASSED     ,1.34497e-05,1881.98,2824.15,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,2311659, PASSED     ,0.000149185,1988.29,2983.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,2311659, PASSED     ,0.000144122,2058.13,3088.52,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,24678, PASSED     ,4.65482e-06,680.316,1020.85,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,24678, PASSED     ,4.49002e-06,705.286,1058.32,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,3105, PASSED     ,4.07522e-06,97.8103,146.712,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,3105, PASSED     ,3.85542e-06,103.387,155.076,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,3082212, PASSED     ,0.000205039,1928.88,2894.55,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_4000-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,3082212, PASSED     ,0.000198415,1993.28,2991.19,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_4000-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,394524, PASSED     ,2.28005e-05,2220.29,3331.85,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,394524, PASSED     ,2.20943e-05,2291.26,3438.34,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,49329, PASSED     ,6.26522e-06,1010.32,1516.08,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,49329, PASSED     ,6.11464e-06,1035.2,1553.41,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/DIFFUSION3DPA_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_EDGE3D,Base_HIP,block_256,1331, PASSED     ,2.50391e-05,3.65847,1342.45,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,1331, PASSED     ,2.41201e-05,3.79787,1393.6,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,2985984, PASSED     ,0.00151356,63.2889,24547.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,2985984, PASSED     ,0.0015,63.861,24769.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,343000, PASSED     ,0.00018042,65.79,25381.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,343000, PASSED     ,0.000180648,65.707,25349.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,4410944, PASSED     ,0.00218158,64.2902,24951.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,4410944, PASSED     ,0.00215348,65.1289,25276.8,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,35937, PASSED     ,2.72351e-05,53.5031,20409.0,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,35937, PASSED     ,2.64141e-05,55.1661,21043.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,6028568, PASSED     ,0.00294125,64.7609,25145.2,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,6028568, PASSED     ,0.00291169,65.4183,25400.5,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,704969, PASSED     ,0.000379395,62.3256,24098.0,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,704969, PASSED     ,0.000372261,63.52,24559.8,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,8869743, PASSED     ,0.00426099,65.3121,25371.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,8869743, PASSED     ,0.00421949,65.9545,25621.2,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,79507, PASSED     ,5.01872e-05,59.9772,22991.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,79507, PASSED     ,5.15572e-05,58.3834,22380.4,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,8000, PASSED     ,2.50212e-05,15.5707,5861.23,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,8000, PASSED     ,2.43781e-05,15.9815,6015.85,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,12008989, PASSED     ,0.00575824,65.1151,25303.8,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_4000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,12008989, PASSED     ,0.00570417,65.7324,25543.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_4000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,1442897, PASSED     ,0.000744303,63.4384,24571.0,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,1442897, PASSED     ,0.000736295,64.1284,24838.3,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_EDGE3D,Base_HIP,block_256,166375, PASSED     ,0.000104791,57.1503,21986.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_EDGE3D,RAJA_HIP,block_256,166375, PASSED     ,0.000104353,57.3907,22079.1,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,834, PASSED     ,1.47897e-05,11.3439,3.10149,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,834, PASSED     ,1.20688e-05,13.9013,3.8007,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,853334, PASSED     ,6.03949e-05,2842.32,777.108,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,853334, PASSED     ,5.98514e-05,2868.13,784.165,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,106667, PASSED     ,1.40887e-05,1523.05,416.411,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,106667, PASSED     ,1.4142e-05,1517.31,414.842,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,1250000, PASSED     ,8.22544e-05,3057.06,835.821,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,1250000, PASSED     ,8.26103e-05,3043.9,832.221,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,13334, PASSED     ,1.37446e-05,195.156,53.357,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,13334, PASSED     ,1.21081e-05,221.532,60.5684,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,1706667, PASSED     ,0.000107523,3193.01,872.99,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,1706667, PASSED     ,0.000107387,3197.07,874.1,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,213334, PASSED     ,1.94857e-05,2202.41,602.153,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,213334, PASSED     ,1.92046e-05,2234.64,610.966,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,2500000, PASSED     ,0.000150906,3332.64,911.166,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,2500000, PASSED     ,0.000151139,3327.49,909.758,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,26667, PASSED     ,1.41297e-05,379.661,103.802,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,26667, PASSED     ,1.21842e-05,440.282,120.376,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,3334, PASSED     ,1.43873e-05,46.6166,12.7453,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,3334, PASSED     ,1.19484e-05,56.1321,15.3469,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,3333334, PASSED     ,0.00019667,3409.53,932.187,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_4000-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,3333334, PASSED     ,0.000196457,3413.23,933.199,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_4000-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,426667, PASSED     ,3.28244e-05,2614.85,714.917,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,426667, PASSED     ,3.3297e-05,2577.73,704.769,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_ENERGY,Base_HIP,block_256,53334, PASSED     ,1.37561e-05,779.941,213.241,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256
Apps_ENERGY,RAJA_HIP,block_256,53334, PASSED     ,1.24966e-05,858.552,234.734,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/ENERGY_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256
Apps_FEMSWEEP,Base_HIP,block_64,73728, PASSED     ,9.526e-05,13.2617,78.3641,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,73728, PASSED     ,8.515e-05,14.8363,87.6683,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,53747712, PASSED     ,0.0606844,19.049,97.3524,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,53747712, PASSED     ,0.0573633,20.1519,102.989,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,9216000, PASSED     ,0.0101318,19.1629,99.1931,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,9216000, PASSED     ,0.00954454,20.3419,105.296,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,73728000, PASSED     ,0.085884,18.5106,94.4521,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,73728000, PASSED     ,0.0814708,19.5133,99.5685,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,1990656, PASSED     ,0.00204659,19.8501,104.805,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,1990656, PASSED     ,0.00193254,21.0216,110.99,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,98131968, PASSED     ,0.122443,17.3174,88.2503,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_2048-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,98131968, PASSED     ,0.120565,17.5872,89.625,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_2048-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,15925248, PASSED     ,0.0176802,19.1247,98.5184,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,15925248, PASSED     ,0.0167757,20.1558,103.83,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_FEMSWEEP,Base_HIP,block_64,161980416, PASSED     ,0.480764,7.30349,37.1457,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_3000-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_FEMSWEEP,RAJA_HIP,block_64,161980416, PASSED     ,0.463462,7.57616,38.5325,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-SPX/FEMSWEEP_factor_3000-kernel-run-data.csv,HIP,RAJA_HIP-block_64
